iter	Passed	Remaining
417	3587	4995
418	3595	4986
419	3600	4972
420	3604	4956
421	3610	4945
422	3621	4939
423	3628	4929
424	3637	4921
425	3645	4912
426	3664	4916
427	3673	4909
428	3681	4899
429	3697	4901
430	3707	4894
431	3712	4881
432	3718	4868
433	3725	4858
434	3735	4852
435	3738	4836
436	3756	4839
437	3763	4829
438	3774	4823
439	3783	4815
440	3789	4803
441	3798	4795
442	3801	4779
443	3809	4770
444	3814	4757
445	3820	4745
446	3830	4738
447	3842	4734
448	3854	4730
449	3861	4720
450	3872	4714
451	3880	4704
452	3884	4690
453	3891	4680
454	3901	4673
455	3908	4663
456	3916	4653
457	3921	4641
458	3936	4639
459	3945	4631
460	3960	4630
461	3978	4632
462	3984	4621
463	3987	4606
464	3996	4598
465	4005	4590
466	4012	4579
467	4025	4575
468	4033	4567
469	4043	4559
470	4048	4546
471	4059	4541
472	4062	4526
473	4065	4511
474	4077	4506
475	4080	4491
476	4086	4480
477	4089	4465
478	4100	4460
479	4108	4451
480	4113	4438
481	4116	4423
482	4122	4413
483	4132	4405
484	4146	4403
485	4152	4391
486	4160	4382
487	4171	4376
488	4188	4376
489	4195	4366
490	4199	4353
491	4210	4347
492	4213	4332
493	4226	4329
494	4233	4318
495	4235	4303
496	4239	4290
497	4246	4280
498	4252	4269
499	4266	4266
500	4276	4258
501	4288	4254
502	4294	4243
503	4302	4233
504	4314	4228
505	4321	4218
506	4328	4208
507	4342	4205
508	4349	4195
509	4373	4201
510	4378	4189
511	4381	4176
512	4386	4164
513	4394	4155
514	4404	4148
515	4417	4143
516	4425	4134
517	4440	4131
518	4452	4126
519	4460	4117
520	4465	4105
521	4478	4100
522	4484	4089
523	4499	4087
524	4509	4080
525	4512	4066
526	4519	4056
527	4529	4048
528	4538	4040
529	4546	4032
530	4554	4022
531	4560	4011
532	4563	3998
533	4576	3993
534	4581	3981
535	4587	3971
536	4590	3958
537	4604	3953
538	4610	3943
539	4622	3937
540	4634	3931
541	4643	3923
542	4647	3911
543	4654	3901
544	4663	3893
545	4668	3881
546	4673	3870
547	4676	3857
548	4683	3847
549	4688	3835
550	4693	3824
551	4702	3816
552	4708	3806
553	4721	3801
554	4728	3791
555	4741	3786
556	4746	3775
557	4766	3775
558	4776	3768
559	4788	3762
560	4796	3753
561	4815	3752
562	4831	3750
563	4847	3747
564	4852	3736
565	4858	3725
566	4873	3721
567	4891	3720
568	4902	3713
569	4910	3704
570	4924	3700
571	4936	3693
572	4951	3690
573	4968	3687
574	4981	3681
575	4985	3670
576	4995	3662
577	5006	3655
578	5034	3660
579	5039	3649
580	5042	3636
581	5053	3629
582	5060	3619
583	5070	3612
584	5079	3603
585	5091	3597
586	5103	3590
587	5117	3585
588	5129	3579
589	5138	3570
590	5148	3563
591	5156	3553
592	5171	3549
593	5177	3539
594	5181	3526
595	5193	3520
596	5197	3508
597	5203	3497
598	5210	3487
599	5219	3479
600	5223	3467
601	5228	3456
602	5234	3446
603	5248	3441
604	5257	3432
605	5265	3423
